red,green,blue,hue,saturation,value,kematangan,berat
132.093197,57.970348,13.335161,105.810968,238.971374,121.760040,3,55
163.776744,75.692624,22.059159,105.597716,230.971131,150.349405,3,58
125.664723,52.077946,12.256871,106.421252,239.371124,115.670178,3,58
143.019051,48.754284,16.089140,108.176921,236.057778,130.283771,3,54
144.017924,49.405638,18.311225,108.969012,232.361689,134.288609,3,54
177.842883,72.519834,24.300930,107.141733,229.085069,162.997762,3,58
172.302705,77.541696,24.389891,106.356579,227.574892,157.375784,3,56
122.970908,41.005231,16.611472,109.243995,232.485018,113.113587,4,28
175.197518,65.905857,26.581139,108.428577,226.473599,160.232496,4,26
119.340815,32.833656,13.241715,110.163107,237.838327,108.700402,4,29
111.098146,30.627686,11.849199,110.428641,238.654749,102.812512,4,28
104.772588,27.266286,11.232247,110.783969,239.552177,96.657625,4,28
170.054629,62.439056,25.041719,107.823061,229.274176,152.578129,4,28
105.104684,27.256456,10.964828,110.837516,240.155586,96.294677,4,27
106.047066,54.976375,10.449856,103.241268,241.112139,95.928448,4,27
152.112684,80.358802,18.755815,103.837512,233.967878,140.393733,4,28
142.199689,48.897177,18.769679,107.991804,232.418655,128.408394,4,26
137.838863,49.480431,15.783131,107.574146,235.846924,125.001057,4,26
143.665426,54.364523,19.305401,107.601282,231.628428,131.110244,4,25
161.383394,59.321245,24.557478,108.198824,228.276740,145.735415,4,28
116.032943,32.934747,12.549167,109.745870,238.236598,106.087174,4,28
147.982426,52.091653,16.854897,107.858785,235.557215,134.662759,4,28
150.823340,58.034208,20.913798,107.572348,231.678682,139.236133,4,27
127.667671,40.824162,12.964316,108.327444,238.802506,115.920927,4,26
144.557150,66.392611,17.333684,105.189177,234.672569,131.034511,3,37
116.473550,47.512963,11.867653,105.989260,240.508741,106.472559,3,39
143.987669,53.225296,17.930369,108.340694,232.950199,132.933437,3,40
164.861201,63.750083,25.831603,107.299854,226.867921,147.588157,3,36
131.732049,62.684743,16.627818,104.583066,235.484426,119.112497,3,38
115.246952,41.252687,9.482763,107.883135,241.332219,105.491758,3,36
138.323639,44.901570,16.304328,108.713086,235.369764,125.253263,3,36
173.690799,72.403718,25.859986,106.680449,227.275829,157.243593,3,37
141.660575,64.678658,15.795030,104.875514,236.832935,127.699713,3,38
154.129747,80.508226,17.644212,103.379691,236.593812,141.615736,3,36
164.288999,73.232574,18.865839,105.437869,235.291337,149.104607,3,38
111.465402,32.825364,11.519450,109.052448,239.343974,100.666414,3,40
109.971209,37.727882,9.971949,108.141780,241.813117,99.189084,3,38
108.749515,30.381163,15.066828,111.073914,233.504527,99.912642,5,42
137.601747,39.348802,19.912223,110.988570,230.210501,127.484352,5,43
131.749596,39.074778,20.578865,110.468401,229.555824,119.966987,5,45
